Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C21, C23, C8",0603,4,"50V, 100nF",C14663
"C10, C2",1206,2,C10uF,C13585
"C11, C13, C18, C28",0603,4,C100nF,C14663
"C12, C14",0603,2,C10nF,C57112
"C15, C16",0402,2,C1nF,C1523
C17,0402,1,C2.2nF,C1531
C19,0603,1,10nF,C57112
C20,0603,1,"40V, 330pF",C1664
C22,0603,1,C47nF,C1622
C24,0805,1,C10uF,C440198
C25,1206,1,"40V, 2µF",C50254
C29,1206,1,C22uF,C12891
"C3, C6, C7, C9",0402,4,C100nF,C307331
C30,1210,1,C22uF,C778721
"C4, C5",0402,2,C22pF,C1555
D1,0805,1,LED_PC13,C84256
"D10, D5",D_SMA,2,D_Schottky,C8678
"D2, D3, D9",D_SOD-323,3,D_Schottky,C2128
D4,0805,1,TX,C2297
D7,0805,1,RX,C2297
INP1,PinHeader_1x01_P2.54mm_Vertical,1,INP,
J1,TO-92L_Inline,1,DS18B20,C157928
J2,200kHz_piezo,1,TRANSDUCER,C2997509
JP1,PinHeader_1x02_P2.54mm_Vertical,1,termination_jumper,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,TVS,
JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,TRANSFORMER_BRIDGE,
JP6,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,PHASE_DETECT,
JP7,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,TRANSDUCER_GND,
L1,L_Bourns_SRN6045TA,1,L22uH,C780213
OUTA1,PinHeader_1x01_P2.54mm_Vertical,1,OUTA,
OUTB1,PinHeader_1x01_P2.54mm_Vertical,1,OUTB,
PIEZOA1,PinHeader_1x01_P2.54mm_Vertical,1,TRANSDUCER_A,
PIEZOB1,PinHeader_1x01_P2.54mm_Vertical,1,TRANSDUCER_B,
R1,0402,1,R1M,C26083
"R10, R14, R2",0603,3,R1k,C21190
R11,1206,1,R10,C17903
R12,0603,1,R4.7k,C23162
R13,1206,1,R200,C18002
R15,0402,1,R100k,C25741
R16,0603,1,R2.2k,C4190
"R3, R4, R5, R6, R9",0603,5,R10k,C25804
"R7, R8",0603,2,R330,C23138
RV1,Potentiometer_Bourns_3296W_Vertical,1,R_POT_100k,
SW1,SW_Push_1P1T_NO_CK_KSC7xxJ,1,RST,C318884
T1,ultrasonic_transformer_THT,1,Transformer_1P_SS,
"TP1, TP3, TP5",TestPoint_Pad_D2.0mm,3,GND,
TP2,PinHeader_1x01_P2.54mm_Vertical,1,BOOST,
TP6,TestPoint_Pad_D2.0mm,1,D-,
TP7,TestPoint_Pad_D2.0mm,1,D+,
TP8,TestPoint_Pad_D2.0mm,1,5V,
TP9,PinHeader_1x01_P2.54mm_Vertical,1,VPWR,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U3,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-A01-GQFN28,C6568
U4,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,TUSS4470TRTJR,C1855776
U5,SOT-23-6,1,MT3608,C84817
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,Crystal,C115962
