Designator,Mid X,Mid Y,Rotation,Layer
C1,111.6,-106.0,180.0,top
C10,104.1,-107.0,90.0,top
C11,88.9,-109.8,270.0,top
C12,105.4,-77.425,180.0,top
C13,102.45,-114.42,90.0,top
C14,105.4,-78.925,180.0,top
C15,111.3,-86.9,270.0,top
C16,105.975,-80.225,180.0,top
C17,110.31,-86.9,270.0,top
C18,100.85,-114.42,90.0,top
C19,107.7,-78.15,270.0,top
C2,107.7,-105.6,180.0,top
C20,105.4,-81.425,0.0,top
C21,86.5,-100.1,180.0,top
C22,97.7,-114.4,270.0,top
C23,114.7,-83.9,0.0,top
C24,114.9,-88.1,180.0,top
C25,108.6,-88.0,270.0,top
C26,100.0,-100.8,180.0,top
C27,100.0,-98.2,180.0,top
C28,86.6,-106.0,0.0,top
C29,115.45,-108.3,270.0,top
C3,76.6,-99.15,270.0,top
C30,114.75,-99.25,270.0,top
C4,79.4,-102.45,0.0,top
C5,83.2,-102.45,0.0,top
C6,77.2,-90.15,90.0,top
C7,84.6,-90.2,90.0,top
C8,104.5,-111.9,90.0,top
C9,82.4,-100.6,180.0,top
D1,91.9,-114.6,270.0,top
D10,120.7,-95.1,270.0,top
D2,101.75,-78.7,180.0,top
D3,98.35,-78.7,180.0,top
D4,93.9,-114.6,270.0,top
D5,119.6,-85.4,270.0,top
D7,95.9,-114.6,270.0,top
D9,90.45,-84.75,90.0,top
J1,84.440792,-87.482945,116.0,bottom
J2,100.04,-95.08,180.0,bottom
L1,120.0,-102.4,90.0,top
R1,81.3,-102.45,0.0,top
R10,112.85,-91.3,180.0,top
R11,115.5,-85.9,0.0,top
R12,83.261656,-85.008495,244.0,top
R13,98.9,-80.925,0.0,top
R14,90.65,-87.925,270.0,top
R15,90.2,-82.15,270.0,top
R16,111.6,-104.5,180.0,top
R2,86.6,-110.5,180.0,top
R3,89.75,-91.35,90.0,top
R4,90.4,-109.8,90.0,top
R5,86.6,-109.0,180.0,top
R6,86.6,-107.5,0.0,top
R7,93.95,-111.22,90.0,top
R8,95.55,-111.22,90.0,top
R9,112.85,-92.8,180.0,top
SW1,91.5,-103.7,135.0,top
U1,109.8,-110.5,0.0,top
U2,80.9,-94.95,0.0,top
U3,99.55,-109.7,180.0,top
U4,109.6125,-82.325,270.0,top
U5,114.9,-103.8,90.0,top
Y1,81.2,-104.95,0.0,top
