Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,C15nF,C1596
C2,0603,1,C106nF,C14663
C3,0603,1,C3.2nF,C1613
C4,0603,1,C21.2nF,C1602
C5,0603,1,"40V, 330pF",C1664
C6,1206,1,"40V, 2µF",C50254
C7,0603,1,"50V, 100nF",C14663
C8,0603,1,10nF,C57112
D1,D_SMA,1,1N4001,C727079
D2,0805,1,LED_PWR,C84256
D3,0805,1,LED_VIN,C84256
D4,0805,1,LED_XT30,C84256
R1,1206,1,R10,C17903
R2,1206,1,R200,C18002
R3,0603,1,R330,C23138
"R4, R5",0603,2,R1k,C14676
SW1,SW_Push_1P1T_NO_CK_KSC7xxJ,1,RST,C318884
U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,TUSS4470TRTJR,C1855776
